timestamp,do_mean,temp_mean,ph_mean
2026-03-26 19:55:00,6.802,26.96,8.181
2026-03-26 20:00:00,7.178,26.96,8.183
2026-03-26 20:05:00,7.038,26.96,8.184
2026-03-26 20:10:00,7.376,26.96,8.183
2026-03-26 20:15:00,7.643,26.96,8.18
2026-03-26 20:20:00,6.527,26.96,8.173
2026-03-26 20:25:00,7.718,26.96,8.167
2026-03-26 20:30:00,7.45,26.96,8.167
2026-03-26 20:35:00,7.214,26.97,8.172
2026-03-26 20:40:00,7.29,26.96,8.166
2026-03-26 20:45:00,7.6,26.96,8.161
2026-03-26 20:50:00,7.739,26.96,8.156
2026-03-26 20:55:00,7.806,26.96,8.159
2026-03-26 21:00:00,7.686,26.96,8.157
2026-03-26 21:05:00,7.804,26.97,8.175
2026-03-26 21:10:00,7.4,26.97,8.161
2026-03-26 21:15:00,7.451,26.96,8.155
2026-03-26 21:20:00,8.323,26.96,8.15
2026-03-26 21:25:00,7.772,26.96,8.146
2026-03-26 21:30:00,8.034,26.96,8.147
2026-03-26 21:35:00,7.845,26.96,8.137
2026-03-26 21:40:00,7.709,26.96,8.128
2026-03-26 21:45:00,7.551,26.96,8.127
2026-03-26 21:50:00,6.891,26.96,8.115
2026-03-26 21:55:00,7.371,26.96,8.118
2026-03-26 22:00:00,7.261,26.96,8.12
2026-03-26 22:05:00,7.367,26.96,8.122
2026-03-26 22:10:00,7.894,26.96,8.128
2026-03-26 22:15:00,8.736,26.95,8.135
2026-03-26 22:20:00,8.327,26.96,8.133
2026-03-26 22:25:00,8.509,26.95,8.137
2026-03-26 22:30:00,8.296,26.95,8.139
2026-03-26 22:35:00,8.207,26.95,8.145
2026-03-26 22:40:00,7.573,26.95,8.139
2026-03-26 22:45:00,7.776,26.95,8.141
2026-03-26 22:50:00,7.999,26.95,8.195
2026-03-26 22:55:00,8.439,26.95,8.181
2026-03-26 23:00:00,8.536,26.95,8.161
2026-03-26 23:05:00,8.342,26.95,8.168
2026-03-26 23:10:00,7.929,26.95,8.174
2026-03-26 23:15:00,7.968,26.96,8.185
2026-03-26 23:20:00,7.535,26.96,8.187
2026-03-26 23:25:00,8.073,26.96,8.178
2026-03-26 23:30:00,8.198,26.96,8.182
2026-03-26 23:35:00,8.157,26.96,8.185
2026-03-26 23:40:00,7.601,26.96,8.186
2026-03-26 23:45:00,7.292,26.97,8.185
2026-03-26 23:50:00,7.886,26.97,8.186
2026-03-26 23:55:00,7.542,26.98,8.185
2026-03-27 00:00:00,7.607,26.97,8.195
2026-03-27 00:05:00,7.497,26.97,8.183
2026-03-27 00:10:00,7.913,26.98,8.186
2026-03-27 00:15:00,8.069,26.99,8.182
2026-03-27 00:20:00,8.394,26.98,8.182
2026-03-27 00:25:00,8.027,26.97,8.176
2026-03-27 00:25:00,8.028,26.97,8.176
2026-03-27 00:30:00,8.205,26.98,8.179
2026-03-27 00:30:00,8.205,26.98,8.179
2026-03-27 00:35:00,7.548,27.0,8.173
2026-03-27 00:40:00,8.382,26.99,8.181
2026-03-27 00:45:00,8.541,26.99,8.17
2026-03-27 00:50:00,8.619,27.01,8.176
2026-03-27 00:55:00,8.213,27.01,8.157
2026-03-27 01:00:00,8.085,27.02,8.157
2026-03-27 01:05:00,8.525,27.01,8.188
2026-03-27 01:10:00,7.473,26.98,8.169
2026-03-27 01:15:00,7.665,26.98,8.158
2026-03-27 01:20:00,7.626,26.99,8.16
2026-03-27 01:25:00,7.783,26.98,8.16
2026-03-27 01:30:00,8.061,27.0,8.161
2026-03-27 01:35:00,7.974,26.99,8.174
2026-03-27 01:40:00,7.867,26.99,8.191
2026-03-27 01:45:00,8.21,26.99,8.197
2026-03-27 01:50:00,7.973,27.0,8.197
2026-03-27 01:55:00,7.913,27.01,8.2
2026-03-27 02:00:00,7.405,26.99,8.202
2026-03-27 02:05:00,7.349,27.01,8.202
2026-03-27 02:10:00,8.208,27.02,8.202
2026-03-27 02:15:00,8.361,27.0,8.198
2026-03-27 02:20:00,8.086,27.02,8.2
2026-03-27 02:25:00,7.989,27.02,8.212
2026-03-27 02:30:00,7.719,27.01,8.207
2026-03-27 02:35:00,7.826,27.01,8.219
2026-03-27 02:40:00,7.479,27.02,8.212
2026-03-27 02:45:00,7.028,27.03,8.215
2026-03-27 02:50:00,6.904,27.02,8.213
2026-03-27 02:55:00,6.643,27.02,8.22
2026-03-27 03:00:00,6.561,27.03,8.213
2026-03-27 03:05:00,6.657,27.03,8.217
2026-03-27 03:10:00,6.205,27.03,8.218
2026-03-27 05:30:00,5.323,27.01,8.192
2026-03-27 05:35:00,5.677,27.0,8.199
2026-03-27 05:40:00,6.184,26.98,8.202
2026-03-27 05:45:00,6.178,26.99,8.204
2026-03-27 05:50:00,6.2,27.0,8.197
2026-03-27 05:55:00,6.379,26.97,8.192
2026-03-27 06:00:00,6.283,26.96,8.178
2026-03-27 06:05:00,7.171,26.95,8.175
2026-03-27 06:10:00,7.293,26.95,8.165
2026-03-27 06:15:00,7.85,26.94,8.165
2026-03-27 06:20:00,7.451,26.92,8.143
2026-03-27 06:25:00,7.122,26.89,8.144
2026-03-27 06:30:00,7.349,26.89,8.142
2026-03-27 06:35:00,7.962,26.88,8.135
2026-03-27 06:40:00,8.449,26.85,8.125
2026-03-27 06:45:00,8.001,26.83,8.121
2026-03-27 06:50:00,8.08,26.83,8.121
2026-03-27 06:55:00,8.449,26.83,8.121
2026-03-27 07:00:00,8.441,26.82,8.126
2026-03-27 07:05:00,8.159,26.8,8.116
2026-03-27 07:10:00,8.289,26.78,8.109
2026-03-27 07:15:00,8.192,26.76,8.115
2026-03-27 07:20:00,8.325,26.76,8.084
2026-03-27 07:25:00,7.923,26.76,8.064
2026-03-27 07:30:00,8.324,26.75,8.06
2026-03-27 07:35:00,7.82,26.7,8.062
2026-03-27 07:40:00,8.398,26.7,8.061
2026-03-27 07:45:00,8.403,26.68,8.057
2026-03-27 07:50:00,7.955,26.69,8.047
2026-03-27 07:55:00,7.7,26.69,8.049
2026-03-27 08:00:00,7.709,26.65,8.046
2026-03-27 08:05:00,7.672,26.64,8.035
2026-03-27 08:10:00,8.319,26.62,8.031
2026-03-27 08:15:00,7.532,26.62,8.028
2026-03-27 08:20:00,8.001,26.62,8.037
2026-03-27 08:25:00,7.697,26.62,8.036
2026-03-27 08:30:00,8.554,26.6,8.039
2026-03-27 08:35:00,8.102,26.57,8.053
2026-03-27 08:40:00,7.534,26.56,8.053
2026-03-27 08:45:00,8.01,26.55,8.055
2026-03-27 08:50:00,7.978,26.55,8.061
2026-03-27 08:55:00,8.677,26.55,8.054
2026-03-27 09:00:00,8.921,26.54,8.052
2026-03-27 09:05:00,8.975,26.53,8.061
2026-03-27 09:10:00,8.496,26.5,8.056
2026-03-27 09:15:00,8.007,26.5,8.059
2026-03-27 09:20:00,8.935,26.5,8.053
2026-03-27 09:25:00,9.05,26.48,8.061
2026-03-27 09:30:00,8.189,26.49,8.05
2026-03-27 09:35:00,8.905,26.48,8.049
2026-03-27 09:40:00,8.734,26.48,8.038
2026-03-27 09:45:00,8.602,26.47,8.058
2026-03-27 09:50:00,8.816,26.45,8.067
2026-03-27 09:55:00,8.291,26.44,8.054
2026-03-27 10:00:00,7.834,26.45,8.051
2026-03-27 10:05:00,7.918,26.43,8.042
2026-03-27 10:10:00,8.422,26.45,8.044
2026-03-27 10:15:00,8.7,26.44,8.04
2026-03-27 10:20:00,8.713,26.43,8.037
2026-03-27 10:25:00,8.735,26.42,8.037
2026-03-27 10:30:00,8.711,26.43,8.043
2026-03-27 10:35:00,8.5,26.44,8.052
2026-03-27 10:40:00,8.681,26.43,8.068
2026-03-27 10:45:00,8.103,26.44,8.079
2026-03-27 10:50:00,8.299,26.43,8.083
2026-03-27 10:55:00,8.138,26.44,8.091
2026-03-27 11:00:00,8.332,26.43,8.088
2026-03-27 11:05:00,8.361,26.43,8.075
2026-03-27 11:10:00,8.3,26.42,8.076
2026-03-27 11:15:00,8.294,26.44,8.075
2026-03-27 11:20:00,8.2,26.45,8.077
2026-03-27 11:25:00,8.195,26.47,8.08
2026-03-27 11:30:00,7.952,26.47,8.092
2026-03-27 11:35:00,7.927,26.48,8.1
2026-03-27 11:40:00,7.957,26.48,8.09
2026-03-27 11:45:00,7.735,26.48,8.09
