Datetime,Dissolved Oxygen (mg/L),Temperature (C),pH
2024-08-01 00:00:00,7.09,28.23,7.15
2024-08-01 01:00:00,7.12,27.9,7.19
2024-08-01 02:00:00,7.05,28.1,7.17
2024-08-01 03:00:00,7.01,28.13,7.21
2024-08-01 04:00:00,7.09,28.35,7.18
2024-08-01 05:00:00,7.15,28.4,7.16
2024-08-01 06:00:00,7.15,28.32,7.2
2024-08-01 07:00:00,6.99,28.39,7.21
2024-08-01 08:00:00,6.89,28.31,7.2
2024-08-01 09:00:00,7.02,28.25,7.21
2024-08-01 10:00:00,7.11,28.47,7.18
2024-08-01 11:00:00,7.27,28.57,7.19
2024-08-01 12:00:00,7.04,28.72,7.18
2024-08-01 13:00:00,6.91,28.77,7.19
2024-08-01 14:00:00,7.02,28.66,7.18
2024-08-01 15:00:00,7.12,28.72,7.15
2024-08-01 16:00:00,7.07,28.7,7.21
2024-08-01 17:00:00,6.89,28.71,7.19
2024-08-01 18:00:00,7.02,28.73,7.15
2024-08-01 19:00:00,7.06,29.15,7.21
2024-08-01 20:00:00,7.07,28.95,7.17
2024-08-01 21:00:00,7.03,29.01,7.2
2024-08-01 22:00:00,6.94,28.97,7.22
2024-08-01 23:00:00,6.96,29.23,7.2
