Datetime,Dissolved Oxygen (mg/L),Temperature (C),pH
2024-08-01 00:00:00,6.86,28.0,7.21
2024-08-01 01:00:00,6.54,28.23,7.17
2024-08-01 02:00:00,6.32,28.11,7.21
2024-08-01 03:00:00,5.77,28.19,7.24
2024-08-01 04:00:00,5.06,28.39,7.18
2024-08-01 05:00:00,4.27,28.12,7.2
2024-08-01 06:00:00,3.48,28.17,7.19
2024-08-01 07:00:00,2.8,28.45,7.26
2024-08-01 08:00:00,2.14,28.28,7.22
2024-08-01 09:00:00,1.85,28.64,7.21
2024-08-01 10:00:00,1.62,28.46,7.18
2024-08-01 11:00:00,1.62,28.48,7.22
2024-08-01 12:00:00,2.07,28.79,7.18
2024-08-01 13:00:00,2.59,28.8,7.2
2024-08-01 14:00:00,3.26,28.89,7.18
2024-08-01 15:00:00,3.99,28.84,7.22
2024-08-01 16:00:00,4.75,28.71,7.22
2024-08-01 17:00:00,5.55,29.04,7.19
2024-08-01 18:00:00,5.98,28.87,7.21
2024-08-01 19:00:00,6.46,29.03,7.17
2024-08-01 20:00:00,6.61,29.09,7.16
2024-08-01 21:00:00,6.75,29.03,7.21
2024-08-01 22:00:00,6.82,29.16,7.21
2024-08-01 23:00:00,6.84,29.24,7.22
