Datetime,Dissolved Oxygen (mg/L),Temperature (C),pH
2024-08-01 00:00:00,6.62,28.12,7.2
2024-08-01 01:00:00,6.35,28.08,7.16
2024-08-01 02:00:00,5.95,28.19,7.22
2024-08-01 03:00:00,5.66,28.18,7.19
2024-08-01 04:00:00,5.13,28.29,7.22
2024-08-01 05:00:00,4.78,28.18,7.22
2024-08-01 06:00:00,4.5,28.2,7.26
2024-08-01 07:00:00,4.39,28.42,7.24
2024-08-01 08:00:00,4.16,28.32,7.19
2024-08-01 09:00:00,4.16,28.38,7.19
2024-08-01 10:00:00,4.3,28.45,7.23
2024-08-01 11:00:00,4.47,28.55,7.22
2024-08-01 12:00:00,4.86,28.56,7.22
2024-08-01 13:00:00,5.15,28.51,7.15
2024-08-01 14:00:00,5.54,28.64,7.2
2024-08-01 15:00:00,5.98,28.53,7.18
2024-08-01 16:00:00,6.28,28.86,7.21
2024-08-01 17:00:00,6.6,28.69,7.2
2024-08-01 18:00:00,6.65,28.79,7.23
2024-08-01 19:00:00,6.6,28.96,7.21
2024-08-01 20:00:00,6.44,28.93,7.22
2024-08-01 21:00:00,6.54,29.2,7.19
2024-08-01 22:00:00,6.35,28.97,7.17
2024-08-01 23:00:00,6.42,29.18,7.19
