Datetime,Dissolved Oxygen (mg/L),Temperature (C),pH
2024-08-01 00:00:00,7.0,27.94,7.14
2024-08-01 01:00:00,6.82,28.01,7.21
2024-08-01 02:00:00,6.61,28.09,7.22
2024-08-01 03:00:00,6.1,28.12,7.2
2024-08-01 04:00:00,5.65,28.17,7.19
2024-08-01 05:00:00,5.38,28.08,7.2
2024-08-01 06:00:00,5.08,28.42,7.21
2024-08-01 07:00:00,4.92,28.46,7.12
2024-08-01 08:00:00,4.82,28.32,7.26
2024-08-01 09:00:00,5.0,28.3,7.21
2024-08-01 10:00:00,5.21,28.55,7.18
2024-08-01 11:00:00,5.51,28.49,7.19
2024-08-01 12:00:00,5.87,28.61,7.21
2024-08-01 13:00:00,6.19,28.62,7.2
2024-08-01 14:00:00,6.43,28.77,7.14
2024-08-01 15:00:00,6.68,28.82,7.26
2024-08-01 16:00:00,6.77,28.73,7.2
2024-08-01 17:00:00,6.92,28.71,7.23
2024-08-01 18:00:00,6.94,28.74,7.18
2024-08-01 19:00:00,6.94,29.01,7.25
2024-08-01 20:00:00,7.07,28.88,7.21
2024-08-01 21:00:00,6.8,29.0,7.22
2024-08-01 22:00:00,7.02,29.04,7.17
2024-08-01 23:00:00,6.93,29.14,7.24
